特别频道,#genre#
潘多拉玩美HD,http://276868.cloud/beec6a5b65accd0d5d126c4e464d26c1/a342fa9e5e11747f731a4832e31e0e7d/b74d1eed9ea3ca8d661091ffa5f1fd54/index.m3u8
潘多拉粉红HD,http://276868.cloud/e04a56142536506819b1e775b9456d0a/a342fa9e5e11747f731a4832e31e0e7d/d1512c1d1dda0ddd27bdf6b8ac9bc835/index.m3u8
奥视香蕉台HD,http://276868.cloud/ecc014a79434755f42850add23f2cafb/a342fa9e5e11747f731a4832e31e0e7d/dd18c7572f6fa68799ed27685fafa1da/index.m3u8
奥视惊艳台HD,http://276868.cloud/a94216ae034e67a8780df7f07e513222/a342fa9e5e11747f731a4832e31e0e7d/a6255717ca7d3ba837efd2ed2b130f44/index.m3u8
松视1台HD,http://276868.cloud/33899f168487d4ecf86768be40853b71/a342fa9e5e11747f731a4832e31e0e7d/c5f2d006bb9ccf4951acc5cc4b4b8b39/index.m3u8
松视2台HD,http://276868.cloud/e7e5fccaa92d69a7553c3890c3519a14/a342fa9e5e11747f731a4832e31e0e7d/79624e0ad988a352ad8d5a819dd37a46/index.m3u8
松视3台HD,http://z3.ubtvfans.com/live/rx3/404/92fba28e982d7b13b6b47247c5a40674/index.m3u8
松视4台HD,https://kdy-oss.oss01-cn-lasa-xzns-d01-a.cloud.ningsuan.com.cn/kodbox/202410/06/akw6b-3pn5Rcw?response-content-disposition=inline%3Bfilename%3DS4-3.mp4&response-content-type=video%2Fmp4&OSSAccessKeyId=FfDrPsUMS4h3sKnf&Expires=1732118399&Signature=P6mI8Nv7Gvdvg0UaQ9bIvFKk3Rs%3D
松视5台HD,http://276868.cloud/7584899480166fb05d86da7b61a0940e/a342fa9e5e11747f731a4832e31e0e7d/57c97d9bd28f87f9ee79891f2496dc99/index.m3u8
彩虹頻道,http://276868.cloud/57b7c041286055ef3facb09ea2849486/a342fa9e5e11747f731a4832e31e0e7d/ec5cb3771e4e2d2e1ff1c96838e0c64c/index.m3u8
彩虹电影台,http://ali.hlspull.yximgs.com/live/27f6f1e4159f92cc3813793adccb3bcb.flv
彩虹e台,http://276868.cloud/304eb151795fdb6f46fb2e7131899aa4/a342fa9e5e11747f731a4832e31e0e7d/8f9bc18b7f6567180e5f3444818aaa9c/index.m3u8
彩虹K台,http://jaz9.my.to:2392/udp/224.1.4.175:11111
彩虹热门新视野,http://276868.cloud/b2701e380a11e98984413a1aca87120a/a342fa9e5e11747f731a4832e31e0e7d/45b8831b294a1b4dbb21b91a8e5ad89a/index.m3u8
欢乐频道,http://jaz9.my.to:2392/udp/224.1.4.186:11111
热火频道,http://276868.cloud/b9b937de9424c9c8aa5abba4956cb971/a342fa9e5e11747f731a4832e31e0e7d/795b980acf178c28b340245c217ed848/index.m3u8
玩家频道,http://276868.cloud/29215331c8ac206fd4c2c27b1572324a/a342fa9e5e11747f731a4832e31e0e7d/a3f6b7e3e4f163b355c280020920de17/index.m3u8
极限电影台,http://jaz9.my.to:2392/udp/230.1.2.152:11111

欧美xxx频道,#genre#
花花公子Playboy tv,http://sewv654wfcsdwfi87fwvgbngh.siauliairsavlt.pw/iptv/MLLNWFWVC3H9YNUQTDBDHZGK/527/index.m3u8
花花公子Playboy Plus,http://sewv654wfcsdwfi87fwvgbngh.siauliairsavlt.pw/iptv/MLLNWFWVC3H9YNUQTDBDHZGK/6242/index.m3u8
花花公子Playboy LA,http://sewv654wfcsdwfi87fwvgbngh.siauliairsavlt.pw/iptv/MLLNWFWVC3H9YNUQTDBDHZGK/6280/index.m3u8
花花公子PLAYBOY TV,http://sewv654wfcsdwfi87fwvgbngh.siauliairsavlt.pw/iptv/MLLNWFWVC3H9YNUQTDBDHZGK/12135/index.m3u8
Evolved Fights(搏击成人),http://sewv654wfcsdwfi87fwvgbngh.siauliairsavlt.pw/iptv/MLLNWFWVC3H9YNUQTDBDHZGK/6200/index.m3u8
菊花TV,http://sewv654wfcsdwfi87fwvgbngh.siauliairsavlt.pw/iptv/MLLNWFWVC3H9YNUQTDBDHZGK/147/index.m3u8
菊花TV,http://sewv654wfcsdwfi87fwvgbngh.siauliairsavlt.pw/iptv/MLLNWFWVC3H9YNUQTDBDHZGK/2057/index.m3u8
菊花TV,http://sewv654wfcsdwfi87fwvgbngh.siauliairsavlt.pw/iptv/MLLNWFWVC3H9YNUQTDBDHZGK/9344/index.m3u8
Eromania 4K,http://sewv654wfcsdwfi87fwvgbngh.siauliairsavlt.pw/iptv/MLLNWFWVC3H9YNUQTDBDHZGK/10049/index.m3u8
X 4K Extasy PLAYINUM,http://sewv654wfcsdwfi87fwvgbngh.siauliairsavlt.pw/iptv/MLLNWFWVC3H9YNUQTDBDHZGK/5014/index.m3u8
XY Max,http://sewv654wfcsdwfi87fwvgbngh.siauliairsavlt.pw/iptv/MLLNWFWVC3H9YNUQTDBDHZGK/6286/index.m3u8
XY max,http://sewv654wfcsdwfi87fwvgbngh.siauliairsavlt.pw/iptv/MLLNWFWVC3H9YNUQTDBDHZGK/12114/index.m3u8
XY Mix,http://sewv654wfcsdwfi87fwvgbngh.siauliairsavlt.pw/iptv/MLLNWFWVC3H9YNUQTDBDHZGK/6287/index.m3u8
XY Plus,http://sewv654wfcsdwfi87fwvgbngh.siauliairsavlt.pw/iptv/MLLNWFWVC3H9YNUQTDBDHZGK/6288/index.m3u8
XY Plus,http://sewv654wfcsdwfi87fwvgbngh.siauliairsavlt.pw/iptv/MLLNWFWVC3H9YNUQTDBDHZGK/12118/index.m3u8
erotic,http://sewv654wfcsdwfi87fwvgbngh.siauliairsavlt.pw/iptv/MLLNWFWVC3H9YNUQTDBDHZGK/12146/index.m3u8
erotic 2,http://sewv654wfcsdwfi87fwvgbngh.siauliairsavlt.pw/iptv/MLLNWFWVC3H9YNUQTDBDHZGK/12147/index.m3u8
erotic 3,http://sewv654wfcsdwfi87fwvgbngh.siauliairsavlt.pw/iptv/MLLNWFWVC3H9YNUQTDBDHZGK/12148/index.m3u8
erotic 3,http://sewv654wfcsdwfi87fwvgbngh.siauliairsavlt.pw/iptv/MLLNWFWVC3H9YNUQTDBDHZGK/6240/index.m3u8
erotic 4,http://sewv654wfcsdwfi87fwvgbngh.siauliairsavlt.pw/iptv/MLLNWFWVC3H9YNUQTDBDHZGK/6241/index.m3u8
